ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;60.0;60.0;60.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;108.0;108.0;108.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;24.0;0.0;0.0;24;24;N/A;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;10.0;0.0;0.0;10;10;N/A;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;0.0;0.0;60.0;-60;0;0.0;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;6.0;0.0;0.0;6;6;N/A;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;20.0;0.0;0.0;20;20;N/A;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;16.0;0.0;0.0;16;16;N/A;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;12.0;12.0;48.0;-36;0;0.25;0.25
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;12.0;12.0;12.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;8.0;8.0;8.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;12.0;12.0;12.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;36.0;36.0;72.0;-36;0;0.5;0.5
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;48.0;0.0;0.0;48;48;N/A;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;6.0;0.0;0.0;6;6;N/A;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;12.0;12.0;12.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;20.0;20.0;20.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;8.0;0.0;0.0;8;8;N/A;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;10.0;0.0;0.0;10;10;N/A;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;12.0;12.0;48.0;-36;0;0.25;0.25
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;40.0;40.0;40.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;30.0;30.0;30.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;30.0;30.0;30.0;0;0;1.0;1.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;0.0;0.0;30.0;-30;0;0.0;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;0.0;0.0;30.0;-30;0;0.0;0.0
R024-2020;AMA ESPECIALIDADES DR. VICENTE OCTÁVIO GUIDA - VILA CONSTÂNCIA ;DEZ 2020;0.0;0.0;30.0;-30;0;0.0;0.0
R024-2020;AMA/UBS INTEGRADA JARDIM MIRIAM - MANOEL SOARES DE OLIVEIRA ;DEZ 2020;144.0;144.0;144.0;0;0;1.0;1.0
R024-2020;AMA/UBS INTEGRADA JARDIM MIRIAM - MANOEL SOARES DE OLIVEIRA ;DEZ 2020;84.0;84.0;84.0;0;0;1.0;1.0
