ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;216.0;192.0;192.0;24;24;1.125;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;156.0;144.0;144.0;12;12;1.0833333333333333;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;1000.0;1000.0;1000.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;240.0;240.0;240.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;200.0;200.0;200.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DA CONQUISTA III;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;168.0;168.0;204.0;-36;0;0.8235294117647058;0.8235294117647058
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;20.0;0.0;0.0;20;20;N/A;0.0
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;160.0;160.0;160.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;40.0;40.0;60.0;-20;0;0.6666666666666666;0.6666666666666666
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM DAS LARANJEIRAS;ABR 2020;20.0;20.0;40.0;-20;0;0.5;0.5
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;192.0;192.0;192.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;168.0;144.0;144.0;24;24;1.1666666666666667;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;720.0;720.0;800.0;-80;0;0.9;0.9
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;240.0;240.0;240.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;100.0;100.0;100.0;0;0;1.0;1.0
R009-2015;AMA/UBS INTEGRADA JARDIM SANTO ANDRÉ;ABR 2020;60.0;60.0;80.0;-20;0;0.75;0.75
