ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R001-2014;AMA PARELHEIROS ;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R001-2014;AMA PARELHEIROS ;ABR 2020;84.0;84.0;84.0;0;0;1.0;1.0
R001-2014;AMA PARELHEIROS ;ABR 2020;0.0;0.0;84.0;-84;0;0.0;0.0
R001-2014;AMA PARELHEIROS ;ABR 2020;300.0;300.0;300.0;0;0;1.0;1.0
R001-2014;AMA PARELHEIROS ;ABR 2020;0.0;0.0;168.0;-168;0;0.0;0.0
R001-2014;AMA PARELHEIROS ;ABR 2020;252.0;252.0;252.0;0;0;1.0;1.0
R001-2014;AMA PARELHEIROS ;ABR 2020;0.0;0.0;168.0;-168;0;0.0;0.0
R001-2014;CAPS INFANTO JUVENIL II PARELHEIROS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R001-2014;CAPS INFANTO JUVENIL II PARELHEIROS;ABR 2020;160.0;160.0;160.0;0;0;1.0;1.0
R001-2014;CAPS INFANTO JUVENIL II PARELHEIROS;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R001-2014;CAPS INFANTO JUVENIL II PARELHEIROS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R001-2014;CAPS INFANTO JUVENIL II PARELHEIROS;ABR 2020;20.0;20.0;40.0;-20;0;0.5;0.5
R001-2014;CAPS INFANTO JUVENIL II PARELHEIROS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R001-2014;CAPS INFANTO JUVENIL II PARELHEIROS;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R001-2014;CAPS INFANTO JUVENIL II PARELHEIROS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R001-2014;CEO III PARELHEIROS- CLÍNICA ODONTOL. ESPEC. YVETTE RANZINI VIEGAS;ABR 2020;280.0;280.0;280.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;240.0;240.0;240.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;90.0;90.0;90.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R001-2014;CER II PARELHEIROS;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R001-2014;CER II PARELHEIROS;ABR 2020;0.0;0.0;20.0;-20;0;0.0;0.0
R001-2014;CER II PARELHEIROS;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;0.0;0.0;20.0;-20;0;0.0;0.0
R001-2014;CER II PARELHEIROS;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R001-2014;CER II PARELHEIROS;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R001-2014;CER II PARELHEIROS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R001-2014;PSM BALNEÁRIO SÃO JOSÉ;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R001-2014;PSM BALNEÁRIO SÃO JOSÉ;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R001-2014;PSM BALNEÁRIO SÃO JOSÉ;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R001-2014;PSM BALNEÁRIO SÃO JOSÉ;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R001-2014;PSM BALNEÁRIO SÃO JOSÉ;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R001-2014;PSM BALNEÁRIO SÃO JOSÉ;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R001-2014;PSM BALNEÁRIO SÃO JOSÉ;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R001-2014;PSM BALNEÁRIO SÃO JOSÉ;ABR 2020;84.0;84.0;84.0;0;0;1.0;1.0
R001-2014;PSM BALNEÁRIO SÃO JOSÉ;ABR 2020;0.0;0.0;84.0;-84;0;0.0;0.0
