ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R019-2016;AMA ESPECIALIDADES BURGO PAULISTA;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R019-2016;AMA ESPECIALIDADES BURGO PAULISTA;ABR 2020;108.0;108.0;108.0;0;0;1.0;1.0
R019-2016;AMA ESPECIALIDADES BURGO PAULISTA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA ESPECIALIDADES BURGO PAULISTA;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R019-2016;AMA ESPECIALIDADES BURGO PAULISTA;ABR 2020;372.0;372.0;408.0;-36;0;0.9117647058823529;0.9117647058823529
R019-2016;AMA ESPECIALIDADES BURGO PAULISTA;ABR 2020;42.0;6.0;6.0;36;36;7.0;1.0
R019-2016;AMA ESPECIALIDADES BURGO PAULISTA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA ESPECIALIDADES BURGO PAULISTA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;216.0;216.0;216.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;24.0;24.0;24.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;30.0;0.0;0.0;30;30;N/A;0.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;0.0;0.0;30.0;-30;0;0.0;0.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM POPULAR - MATHEUS SANTAMARIA  - ATÉ MARÇO/2021;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;6.0;6.0;6.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;6.0;6.0;6.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;132.0;132.0;132.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;480.0;480.0;480.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;20.0;20.0;60.0;-40;0;0.3333333333333333;0.3333333333333333
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;0.0;0.0;20.0;-20;0;0.0;0.0
R019-2016;AMA/UBS INTEGRADA JARDIM TRES MARIAS - DR. MAURICIO ZAMIJOVSKY;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA PROF. DR. HUMBERTO CERRUTI - PQ BOTURUSSU;ABR 2020;180.0;180.0;180.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA PROF. DR. HUMBERTO CERRUTI - PQ BOTURUSSU;ABR 2020;156.0;156.0;156.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA PROF. DR. HUMBERTO CERRUTI - PQ BOTURUSSU;ABR 2020;24.0;24.0;24.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA PROF. DR. HUMBERTO CERRUTI - PQ BOTURUSSU;ABR 2020;6.0;6.0;6.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA PROF. DR. HUMBERTO CERRUTI - PQ BOTURUSSU;ABR 2020;132.0;132.0;132.0;0;0;1.0;1.0
R019-2016;AMA/UBS INTEGRADA PROF. DR. HUMBERTO CERRUTI - PQ BOTURUSSU;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
