ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;24.0;24.0;24.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;36.0;36.0;36.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;24.0;24.0;36.0;-12;0;0.6666666666666666;0.6666666666666666
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;48.0;48.0;48.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;48.0;48.0;48.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;48.0;48.0;48.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES PERUS;ABR 2020;24.0;24.0;24.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;24.0;24.0;24.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;48.0;48.0;48.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;48.0;48.0;48.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;48.0;48.0;48.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;24.0;24.0;24.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;48.0;48.0;48.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;24.0;24.0;48.0;-24;0;0.5;0.5
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;36.0;36.0;36.0;0;0;1.0;1.0
R004-2015;AMA ESPECIALIDADES VILA ZATT;ABR 2020;36.0;36.0;36.0;0;0;1.0;1.0
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;156.0;144.0;144.0;12;12;1.0833333333333333;1.0
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;12.0;12.0;24.0;-12;0;0.5;0.5
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;108.0;108.0;132.0;-24;0;0.8181818181818182;0.8181818181818182
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;320.0;320.0;400.0;-80;0;0.8;0.8
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R004-2015;AMA/UBS INTEGRADA ANHANGUERA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R004-2015;AMA/UBS INTEGRADA CITY JARAGUÁ;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R004-2015;AMA/UBS INTEGRADA CITY JARAGUÁ;ABR 2020;108.0;108.0;120.0;-12;0;0.9;0.9
R004-2015;AMA/UBS INTEGRADA CITY JARAGUÁ;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R004-2015;AMA/UBS INTEGRADA CITY JARAGUÁ;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R004-2015;AMA/UBS INTEGRADA CITY JARAGUÁ;ABR 2020;1920.0;1920.0;1920.0;0;0;1.0;1.0
