ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;36.0;36.0;60.0;-24;0;0.6;0.6
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;24.0;24.0;60.0;-36;0;0.4;0.4
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;36.0;0.0;0.0;36;36;N/A;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;12.0;12.0;36.0;-24;0;0.3333333333333333;0.3333333333333333
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;60.0;48.0;48.0;12;12;1.25;1.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;36.0;0.0;0.0;36;36;N/A;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;0.0;0.0;60.0;-60;0;0.0;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;0.0;0.0;12.0;-12;0;0.0;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;6.0;6.0;6.0;0;0;1.0;1.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;0.0;0.0;60.0;-60;0;0.0;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;36.0;0.0;0.0;36;36;N/A;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;12.0;12.0;36.0;-24;0;0.3333333333333333;0.3333333333333333
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;12.0;12.0;36.0;-24;0;0.3333333333333333;0.3333333333333333
R011-2015;AMA ESPECIALIDADES ITAQUERA;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R011-2015;AMA PRESIDENTE JUSCELINO KUBITSCHEK;ABR 2020;72.0;0.0;0.0;72;72;N/A;0.0
R011-2015;AMA PRESIDENTE JUSCELINO KUBITSCHEK;ABR 2020;96.0;96.0;216.0;-120;0;0.4444444444444444;0.4444444444444444
R011-2015;AMA PRESIDENTE JUSCELINO KUBITSCHEK;ABR 2020;48.0;48.0;72.0;-24;0;0.6666666666666666;0.6666666666666666
R011-2015;AMA PRESIDENTE JUSCELINO KUBITSCHEK;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;84.0;84.0;144.0;-60;0;0.5833333333333334;0.5833333333333334
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;48.0;0.0;0.0;48;48;N/A;0.0
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;36.0;36.0;72.0;-36;0;0.5;0.5
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;48.0;0.0;0.0;48;48;N/A;0.0
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;160.0;160.0;160.0;0;0;1.0;1.0
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;72.0;72.0;120.0;-48;0;0.6;0.6
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;48.0;0.0;0.0;48;48;N/A;0.0
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;36.0;36.0;36.0;0;0;1.0;1.0
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;12.0;12.0;60.0;-48;0;0.2;0.2
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R011-2015;AMA/UBS INTEGRADA AGUIA DE HAIA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R011-2015;AMA/UBS INTEGRADA CIDADE LIDER I;ABR 2020;24.0;12.0;12.0;12;12;2.0;1.0
R011-2015;AMA/UBS INTEGRADA CIDADE LIDER I;ABR 2020;1800.0;1800.0;1800.0;0;0;1.0;1.0
R011-2015;AMA/UBS INTEGRADA CIDADE LIDER I;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R011-2015;AMA/UBS INTEGRADA CIDADE LIDER I;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R011-2015;AMA/UBS INTEGRADA CIDADE LIDER I;ABR 2020;360.0;360.0;360.0;0;0;1.0;1.0
R011-2015;AMA/UBS INTEGRADA CIDADE LIDER I;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
