ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R014-2015;AMA SAPOPEMBA;ABR 2020;180.0;180.0;216.0;-36;0;0.8333333333333334;0.8333333333333334
R014-2015;AMA SAPOPEMBA;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R014-2015;AMA SAPOPEMBA;ABR 2020;16.0;0.0;0.0;16;16;N/A;0.0
R014-2015;AMA SAPOPEMBA;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R014-2015;AMA SAPOPEMBA;ABR 2020;108.0;108.0;132.0;-24;0;0.8181818181818182;0.8181818181818182
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;120.0;120.0;144.0;-24;0;0.8333333333333334;0.8333333333333334
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;0.0;0.0;96.0;-96;0;0.0;0.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;36.0;0.0;0.0;36;36;N/A;0.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;1160.0;1160.0;1160.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;80.0;0.0;0.0;80;80;N/A;0.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;200.0;200.0;200.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;200.0;200.0;200.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM ELBA - HUMBERTO GASTÃO BODRA;ABR 2020;40.0;0.0;0.0;40;40;N/A;0.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;60.0;60.0;72.0;-12;0;0.8333333333333334;0.8333333333333334
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;16.0;0.0;0.0;16;16;N/A;0.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;160.0;160.0;160.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;80.0;80.0;100.0;-20;0;0.8;0.8
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA JARDIM GRIMALDI;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;168.0;168.0;168.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;96.0;96.0;96.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA ANTONIETA;ABR 2020;0.0;0.0;20.0;-20;0;0.0;0.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;60.0;60.0;72.0;-12;0;0.8333333333333334;0.8333333333333334
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;20.0;20.0;40.0;-20;0;0.5;0.5
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;40.0;40.0;80.0;-40;0;0.5;0.5
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;40.0;40.0;60.0;-20;0;0.6666666666666666;0.6666666666666666
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMA/UBS INTEGRADA VILA CARRÃO - DR. ADHEMAR MONTEIRO PACHECO;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;20.0;20.0;30.0;-10;0;0.6666666666666666;0.6666666666666666
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;24.0;24.0;24.0;0;0;1.0;1.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;0.0;0.0;36.0;-36;0;0.0;0.0
R014-2015;AMB ESPEC SAPOPEMBA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R014-2015;CAPS ADULTO II ARICANDUVA/ FORMOSA;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R014-2015;CAPS ADULTO II ARICANDUVA/ FORMOSA;ABR 2020;160.0;160.0;160.0;0;0;1.0;1.0
R014-2015;CAPS ADULTO II ARICANDUVA/ FORMOSA;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R014-2015;CAPS ADULTO II ARICANDUVA/ FORMOSA;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
