ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;24.0;24.0;24.0;0;0;1.0;1.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;800.0;800.0;800.0;0;0;1.0;1.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;320.0;240.0;240.0;80;80;1.3333333333333333;1.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;96.0;0.0;0.0;96;96;N/A;0.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;60.0;60.0;180.0;-120;0;0.3333333333333333;0.3333333333333333
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;36.0;36.0;60.0;-24;0;0.6;0.6
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R010-2015;AMA/UBS INTEGRADA JARDIM DAS OLIVEIRAS;ABR 2020;24.0;24.0;120.0;-96;0;0.2;0.2
