ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;60.0;60.0;96.0;-36;0;0.625;0.625
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;60.0;60.0;72.0;-12;0;0.8333333333333334;0.8333333333333334
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;0.0;0.0;20.0;-20;0;0.0;0.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;1200.0;1200.0;1200.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;90.0;90.0;90.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;240.0;240.0;240.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;88.0;88.0;88.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;30.0;0.0;0.0;30;30;N/A;0.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;20.0;20.0;60.0;-40;0;0.3333333333333333;0.3333333333333333
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;200.0;200.0;200.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;20.0;0.0;0.0;20;20;N/A;0.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;40.0;40.0;60.0;-20;0;0.6666666666666666;0.6666666666666666
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;40.0;40.0;60.0;-20;0;0.6666666666666666;0.6666666666666666
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA JARDIM BRASIL;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;72.0;0.0;0.0;72;72;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;48.0;48.0;120.0;-72;0;0.4;0.4
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;36.0;36.0;72.0;-36;0;0.5;0.5
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;48.0;0.0;0.0;48;48;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;90.0;90.0;120.0;-30;0;0.75;0.75
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;252.0;216.0;216.0;36;36;1.1666666666666667;1.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;44.0;44.0;88.0;-44;0;0.5;0.5
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;0.0;0.0;20.0;-20;0;0.0;0.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;30.0;0.0;0.0;30;30;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;12.0;12.0;12.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;0.0;0.0;40.0;-40;0;0.0;0.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;40.0;0.0;0.0;40;40;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;0.0;0.0;20.0;-20;0;0.0;0.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;12.0;0.0;0.0;12;12;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;10.0;0.0;0.0;10;10;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA GUILHERME;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;72.0;72.0;96.0;-24;0;0.75;0.75
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;90.0;90.0;120.0;-30;0;0.75;0.75
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;30.0;30.0;30.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;180.0;180.0;216.0;-36;0;0.8333333333333334;0.8333333333333334
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;88.0;88.0;88.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;30.0;0.0;0.0;30;30;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;20.0;20.0;100.0;-80;0;0.2;0.2
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;30.0;0.0;0.0;30;30;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;0.0;0.0;40.0;-40;0;0.0;0.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;30.0;0.0;0.0;30;30;N/A;0.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;20.0;20.0;20.0;0;0;1.0;1.0
R008-2015;AMA/UBS INTEGRADA VILA MEDEIROS;ABR 2020;30.0;30.0;60.0;-30;0;0.5;0.5
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;90.0;-90;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;30.0;-30;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;216.0;-216;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;40.0;-40;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;60.0;-60;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;88.0;-88;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;30.0;-30;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;80.0;-80;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;40.0;-40;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;60.0;-60;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;160.0;-160;0;0.0;0.0
R008-2015;CAPS AD III VILA MARIA ;ABR 2020;0.0;0.0;120.0;-120;0;0.0;0.0
R008-2015;CAPS INFANTO JUVENIL II VILA MARIA VILA GUILHERME;ABR 2020;90.0;90.0;90.0;0;0;1.0;1.0
R008-2015;CAPS INFANTO JUVENIL II VILA MARIA VILA GUILHERME;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R008-2015;CAPS INFANTO JUVENIL II VILA MARIA VILA GUILHERME;ABR 2020;90.0;90.0;90.0;0;0;1.0;1.0
R008-2015;CAPS INFANTO JUVENIL II VILA MARIA VILA GUILHERME;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R008-2015;CAPS INFANTO JUVENIL II VILA MARIA VILA GUILHERME;ABR 2020;80.0;80.0;80.0;0;0;1.0;1.0
R008-2015;CAPS INFANTO JUVENIL II VILA MARIA VILA GUILHERME;ABR 2020;90.0;90.0;90.0;0;0;1.0;1.0
R008-2015;CAPS INFANTO JUVENIL II VILA MARIA VILA GUILHERME;ABR 2020;80.0;80.0;100.0;-20;0;0.8;0.8
R008-2015;CAPS INFANTO JUVENIL II VILA MARIA VILA GUILHERME;ABR 2020;30.0;0.0;0.0;30;30;N/A;0.0
R008-2015;CAPS INFANTO JUVENIL II VILA MARIA VILA GUILHERME;ABR 2020;0.0;0.0;30.0;-30;0;0.0;0.0
