ID_CONTRATO;DESCRICAO_UNIDADE;DESCRICAO_PERIODO;TOTAL_HORAS_APONTADAS;TOTAL_APONTADA_SEM_EXCEDENTE;TOTAL_CARGA_HORARIA_CONTRATADA;AVALIACAO;EXCEDENTE;PORCENTAGEM_INTEGRAL;PORCENTAGEM_SEM_EXCEDENTE
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;72.0;0.0;0.0;72;72;N/A;0.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;80.0;80.0;160.0;-80;0;0.5;0.5
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;48.0;48.0;48.0;0;0;1.0;1.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;24.0;0.0;0.0;24;24;N/A;0.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;6.0;0.0;0.0;6;6;N/A;0.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;84.0;84.0;84.0;0;0;1.0;1.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;36.0;36.0;36.0;0;0;1.0;1.0
R018-2015;AMA ESPECIALIDADES PARQUE PERUCHE;ABR 2020;60.0;60.0;60.0;0;0;1.0;1.0
R018-2015;AMA JARDIM PERI;ABR 2020;552.0;552.0;588.0;-36;0;0.9387755102040817;0.9387755102040817
R018-2015;AMA JARDIM PERI;ABR 2020;408.0;408.0;420.0;-12;0;0.9714285714285714;0.9714285714285714
R018-2015;AMA/UBS INTEGRADA JARDIM ELISA MARIA;ABR 2020;920.0;920.0;960.0;-40;0;0.9583333333333334;0.9583333333333334
R018-2015;AMA/UBS INTEGRADA JARDIM ELISA MARIA;ABR 2020;200.0;160.0;160.0;40;40;1.25;1.0
R018-2015;AMA/UBS INTEGRADA JARDIM ELISA MARIA;ABR 2020;120.0;120.0;160.0;-40;0;0.75;0.75
R018-2015;AMA/UBS INTEGRADA JARDIM LADEIRA ROSA;ABR 2020;216.0;216.0;216.0;0;0;1.0;1.0
R018-2015;AMA/UBS INTEGRADA JARDIM LADEIRA ROSA;ABR 2020;144.0;144.0;144.0;0;0;1.0;1.0
R018-2015;AMA/UBS INTEGRADA JARDIM PAULISTANO;ABR 2020;132.0;132.0;144.0;-12;0;0.9166666666666666;0.9166666666666666
R018-2015;AMA/UBS INTEGRADA JARDIM PAULISTANO;ABR 2020;132.0;132.0;144.0;-12;0;0.9166666666666666;0.9166666666666666
R018-2015;AMA/UBS INTEGRADA JARDIM PAULISTANO;ABR 2020;2200.0;2160.0;2160.0;40;40;1.0185185185185186;1.0
R018-2015;AMA/UBS INTEGRADA JARDIM PAULISTANO;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R018-2015;AMA/UBS INTEGRADA JARDIM PAULISTANO;ABR 2020;120.0;120.0;120.0;0;0;1.0;1.0
R018-2015;AMA/UBS INTEGRADA JARDIM PAULISTANO;ABR 2020;360.0;360.0;360.0;0;0;1.0;1.0
R018-2015;AMA/UBS INTEGRADA JARDIM PAULISTANO;ABR 2020;360.0;360.0;360.0;0;0;1.0;1.0
R018-2015;AMA/UBS INTEGRADA JARDIM PAULISTANO;ABR 2020;40.0;40.0;80.0;-40;0;0.5;0.5
R018-2015;AMA/UBS INTEGRADA MASSAGISTA MÁRIO AMÉRICO;ABR 2020;84.0;84.0;84.0;0;0;1.0;1.0
R018-2015;AMA/UBS INTEGRADA MASSAGISTA MÁRIO AMÉRICO;ABR 2020;72.0;72.0;72.0;0;0;1.0;1.0
R018-2015;AMA/UBS INTEGRADA MASSAGISTA MÁRIO AMÉRICO;ABR 2020;280.0;240.0;240.0;40;40;1.1666666666666667;1.0
R018-2015;AMA/UBS INTEGRADA MASSAGISTA MÁRIO AMÉRICO;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
R018-2015;AMA/UBS INTEGRADA MASSAGISTA MÁRIO AMÉRICO;ABR 2020;40.0;40.0;40.0;0;0;1.0;1.0
